index,office_sought
State Representative - District 102 - Missouri House of Representatives,2
State Representative - District 56 - Missouri House of Representatives,2
State Representative - District 163 - Missouri House of Representatives,2
Sheriff - Nodaway County,2
State Representative - District 65 - Missouri House of Representatives,2
Associate Commissioner - Nodaway County,2
State Representative - District 106 - Missouri House of Representatives,2
State Representative - District 48 - Missouri House of Representatives,2
State Representative - District 45 - Missouri House of Representatives,1
State Representative - District 150 - Missouri House of Representatives,1
State Representative - District 159 - Missouri House of Representatives,1
State Representative - District 85 - Missouri House of Representatives,1
Sheriff - Jefferson County,1
Treasurer - Pettis County,1
County Council - District 2 - Jefferson County,1
Coroner - Taney County,1
State Representative - District 71 - Missouri House of Representatives,1
Associate Commissioner - North - Dallas County,1
Committeeman - Ward 8 - City of St. Louis,1
State Senator - District 29 - Missouri State Senate,1
Public Administrator - Vernon County,1
Public Administrator - District 16 - Pulaski County,1
State Representative - District 8 - Missouri House of Representatives,1
Associate Commissioner - Cedar County,1
Secretary of State - Missouri - Office of the Secretary of State,1
State Representative - District 149 - Missouri House of Representatives,1
Coroner - Butler County,1
Committeeman - Jackson County,1
Sheriff - Oregon County,1
Committeeman - Ward 5 - City of St. Louis,1
Sheriff - Shannon County,1
Associate Commissioner - Eastern District - Morgan County,1
State Representative - District 119 - Missouri House of Representatives,1
Sheriff - St. Francois County,1
Public Administrator - Franklin County,1
State Representative - District 7 - Missouri House of Representatives,1
Committeewoman - Ward 26 - City of St. Louis,1
State Representative - District 77 - Missouri House of Representatives,1
Sheriff - Harrison County,1
Assessor - Platte County,1
State Representative - District 91 - Missouri House of Representatives,1
State Representative - District 114 - Missouri House of Representatives,1
State Representative - District 79 - Missouri House of Representatives,1
State Representative - District 18 - Missouri House of Representatives,1
State Representative - District 40 - Missouri House of Representatives,1
State Representative - District 81 - Missouri House of Representatives,1
Sheriff - Callaway County,1
State Representative - District 39 - Missouri House of Representatives,1
Sheriff - Montgomery County,1
State Representative - District 80 - Missouri House of Representatives,1
State Representative - District 22 - Missouri House of Representatives,1
Committeeman - Ward 23 - City of St. Louis,1
Sheriff - Lincoln County,1
Sheriff - Greene County,1
State Representative - District 151 - Missouri House of Representatives,1
Treasurer - Christian County,1
Assessor - Moniteau County,1
State Representative - District 76 - Missouri House of Representatives,1
Associate Commissioner - District 1 South - Cass County,1
State Representative - District 27 - Missouri House of Representatives,1
Sheriff - Henry County,1
Sheriff - Camden County,1
Sheriff - Vernon County,1
Treasurer - Boone County,1
State Representative - District 58 - Missouri House of Representatives,1
Sheriff - Texas County,1
State Representative - District 32 - Missouri House of Representatives,1
Sheriff - New Madrid County,1
Sheriff - Caldwell County,1
State Representative - District 84 - Missouri House of Representatives,1
Associate Commissioner - District 1 - Franklin County,1
Committeewoman - Ward 16 - Jackson County,1
Associate Commissioner - Grundy County,1
State Representative - District 153 - Missouri House of Representatives,1
State Representative - District 74 - Missouri House of Representatives,1
Treasurer - Cass County,1
Associate Commissioner - District 2 - Boone County,1
Associate Commissioner - District 2 - Texas County,1
Associate Commissioner - Eastern District - Christian County,1
Sheriff - Cass County,1
Lieutenant Governor,1
Assessor - Marion County,1
Committeeman - Ward 18 - City of St. Louis,1
Public Administrator - Pike County,1
Sheriff - Ralls County,1
State Representative - District 33 - Missouri House of Representatives,1
State Representative - District 146 - Missouri House of Representatives,1
Sheriff - Cape Girardeau County,1
Sheriff - Barry County,1
Associate Commissioner - Saline County,1
State Representative - District 23 - Missouri House of Representatives,1
Assessor - Franklin County,1
Associate Commissioner - Southern - Benton County,1
State Representative - District 4 - Missouri House of Representatives,1
Sheriff - Adair County,1
Associate Commissioner - District 2 - Greene County,1
Associate Commissioner - Stoddard County,1
Sheriff - Carter County,1
Associate Commissioner - Cape Girardeau County,1
State Representative - District 125 - Missouri House of Representatives,1
Assessor - Crawford County,1
Sheriff - Chariton County,1
State Representative - District 143 - Missouri House of Representatives,1
Sheriff - Ripley County,1
Public Administrator - Cole County,1
Assessor - Greene County,1
Associate Commissioner - District 1 - Platte County,1
Sheriff - Andrew County,1
Associate Commissioner - Eastern - Jasper County,1
Associate Commissioner - Wayne County,1
State Representative - District 24 - Missouri House of Representatives,1
